CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01;104;BULGARIA;7;6
D-01;108;ESPANYA;6;3
D-01;110;FRANÇA;1;2
D-01;115;ITALIA;2;2
D-01;123;PORTUGAL;1;0
D-01;125;REGNE UNIT;3;0
D-01;126;ALEMANYA;3;0
D-01;128;ROMANIA;3;2
D-01;144;REPUBLICA ESLOVAQUIA;2;0
D-01;228;MARROC;0;1
D-01;343;COLOMBIA;1;0
D-01;347;PARAGUAI;0;1
D-01;407;XINA;1;2
D-02;104;BULGARIA;0;3
D-02;108;ESPANYA;8;3
D-02;110;FRANÇA;3;0
D-02;115;ITALIA;11;6
D-02;122;POLONIA;2;2
D-02;123;PORTUGAL;3;0
D-02;125;REGNE UNIT;0;1
D-02;126;ALEMANYA;1;2
D-02;128;ROMANIA;7;3
D-02;131;SUECIA;0;1
D-02;143;REPUBLICA TXECA;1;1
D-02;144;REPUBLICA ESLOVAQUIA;8;2
D-02;217;GHANA;0;1
D-02;228;MARROC;1;0
D-02;302;ESTADOS UNIDOS (EUA);1;0
D-02;303;MEXIC;0;1
D-02;326;REPUBLICA DOMINICANA;0;1
D-02;340;ARGENTINA;1;5
D-02;341;BOLIVIA;1;0
D-02;342;BRASIL;0;1
D-02;343;COLOMBIA;1;0
D-02;347;PARAGUAI;0;1
D-02;407;XINA;3;1
D-02;499;PAISOS SENSE RELACIONS DIPLOMATIQUES;1;0
D-03;103;BELGICA;1;0
D-03;104;BULGARIA;10;9
D-03;108;ESPANYA;3;1
D-03;110;FRANÇA;4;2
D-03;112;HONGRIA;0;1
D-03;115;ITALIA;2;2
D-03;123;PORTUGAL;2;0
D-03;125;REGNE UNIT;1;1
D-03;126;ALEMANYA;1;3
D-03;128;ROMANIA;5;7
D-03;142;LITUANIA;0;2
D-03;143;REPUBLICA TXECA;1;1
D-03;144;REPUBLICA ESLOVAQUIA;0;1
D-03;146;CROACIA;0;1
D-03;228;MARROC;0;1
D-03;239;SENEGAL;1;0
D-03;340;ARGENTINA;0;1
D-03;342;BRASIL;1;0
D-03;343;COLOMBIA;1;0
D-03;345;EQUADOR;0;1
D-04;101;ALBANIA;1;0
D-04;104;BULGARIA;0;1
D-04;108;ESPANYA;6;4
D-04;110;FRANÇA;0;1
D-04;112;HONGRIA;1;0
D-04;115;ITALIA;4;4
D-04;122;POLONIA;1;0
D-04;123;PORTUGAL;4;1
D-04;125;REGNE UNIT;0;1
D-04;126;ALEMANYA;2;1
D-04;128;ROMANIA;4;4
D-04;228;MARROC;2;4
D-04;340;ARGENTINA;1;1
D-04;345;EQUADOR;1;0
D-04;407;XINA;1;0
D-05;104;BULGARIA;1;0
D-05;108;ESPANYA;1;4
D-05;115;ITALIA;0;1
D-05;126;ALEMANYA;1;0
D-05;128;ROMANIA;2;1
D-05;407;XINA;1;0
D-06;103;BELGICA;1;0
D-06;104;BULGARIA;1;0
D-06;108;ESPANYA;0;3
D-06;115;ITALIA;3;4
D-06;121;HOLANDA;0;2
D-06;125;REGNE UNIT;1;0
D-06;126;ALEMANYA;2;1
D-06;128;ROMANIA;3;2
D-06;132;SUISSA;0;1
D-06;228;MARROC;2;1
D-06;234;NIGERIA;1;0
D-06;340;ARGENTINA;1;0
D-07;102;AUSTRIA;1;0
D-07;108;ESPANYA;1;0
D-07;110;FRANÇA;2;8
D-07;112;HONGRIA;0;1
D-07;113;IRLANDA;0;1
D-07;115;ITALIA;2;2
D-07;123;PORTUGAL;2;2
D-07;125;REGNE UNIT;0;1
D-07;126;ALEMANYA;9;10
D-07;340;ARGENTINA;1;0
D-07;343;COLOMBIA;1;0
D-07;345;EQUADOR;0;1
D-07;414;ISRAEL;0;1
