CODI_DIVISIO_TERRITORIAL;MES;NRE_HOMES;NRE_DONES
D-01;01;14;22
D-01;02;12;12
D-01;03;8;5
D-01;04;16;16
D-01;05;8;13
D-01;06;14;17
D-01;07;8;11
D-01;08;12;10
D-01;09;11;6
D-01;10;12;14
D-01;11;10;14
D-01;12;21;17
D-02;01;70;71
D-02;02;53;55
D-02;03;73;100
D-02;04;59;63
D-02;05;76;57
D-02;06;46;57
D-02;07;53;62
D-02;08;52;70
D-02;09;77;65
D-02;10;50;54
D-02;11;70;65
D-02;12;49;57
D-03;01;16;16
D-03;02;17;15
D-03;03;18;16
D-03;04;19;22
D-03;05;26;19
D-03;06;20;16
D-03;07;17;21
D-03;08;15;8
D-03;09;10;15
D-03;10;19;18
D-03;11;15;22
D-03;12;12;4
D-04;01;28;25
D-04;02;39;29
D-04;03;44;51
D-04;04;37;41
D-04;05;45;61
D-04;06;39;48
D-04;07;36;39
D-04;08;25;24
D-04;09;36;40
D-04;10;36;32
D-04;11;40;52
D-04;12;45;41
D-05;01;5;5
D-05;02;6;1
D-05;03;11;5
D-05;04;3;2
D-05;05;3;9
D-05;06;1;2
D-05;07;2;3
D-05;08;3;2
D-05;09;5;6
D-05;10;7;2
D-05;11;1;0
D-05;12;8;9
D-06;01;35;31
D-06;02;36;32
D-06;03;37;28
D-06;04;23;22
D-06;05;47;37
D-06;06;33;28
D-06;07;35;35
D-06;08;17;16
D-06;09;31;31
D-06;10;38;33
D-06;11;25;31
D-06;12;27;27
D-07;01;4;3
D-07;02;1;1
D-07;03;5;8
D-07;04;1;0
D-07;05;7;4
D-07;06;8;6
D-07;07;8;5
D-07;08;5;5
D-07;09;11;10
D-07;10;4;2
D-07;11;7;7
D-07;12;6;7
