Descripció,F2010,F2011,F2012,F2013,F2014,F2015,FID,F16
Deixalleria (Tn),1817.54,1651.1,1149.18,944.09,1117.28,1125.65,1,1153.44
Materials recuperats (Tn),1441.73,1168.96,957.36,801.25,941.42,975.95,2,949.88
Recuperació (%),79.32,71.85,83.25,84.36,83.75,86.7,3,82.36
% sobre el total de RM,19.11,18.18,13.7,11.5,13.17,13.51,4,0.14
Núm. d'usuaris,16974,16083,13737,12636,11605,11854,5,11869
Usuaris de Manlleu,14721,13819,12021,10708,9706,9832,6,9823
Entrades per habitant i any (Manlleu),0.72,0.68,0.59,0.52,0.48,0.486,7,0.49
Usuaris de Roda de Ter,1618,1720,1317,1408,1413,1544,8,1475
Entrades per habitant i any (Roda de ter),0.26,0.28,0.22,0.23,0.23,0.25,9,0.24
Usuaris de l'Esquirol,377,367,250,271,254,275,10,323
Entrades per habitant i any (l'Esquirol),0.17,0.16,0.11,0.123,0.12,0.13,11,0.149
Usuaris de les Masies de Roda,123,105,149,189,207,174,12,282
Entrades per habitant i any (Masies de Roda),0.16,0.14,0.2,0.25,0.28,0.24,13,0.39
