dc:modified,dc:title,dc:description,dc:source,dc:date,uri
2017-10-31T16:32:21.409Z,Representación de la obra de teatro “El Oso” de Chéjov,"Escritas en 1.888 por Ánton Chéjov\, “El Oso” y “La proposición” son una de las piezas cortas más emblemáticas del escritor y dramaturgo ruso\, escritas en un acto en tiempos de buscar la igualdad femenina. Chéjov empleó con cierta frecuencia una ironía o humorismo\, que sin llegar a la comicidad\, dan ligereza y amenidad a la narración.",http://santander.es/noticia/representacion-obra-teatro-oso-chejov,29-09-2017 10:00,http://datos.santander.es/api/datos/noticias_turismo/representacion-de-la-obra-de-teatro-el-oso-de-chejov.csv
2017-10-31T16:32:21.403Z,Proyección fotográfica “Higiene Mental”,"La Fundación Acorde\, entidad que trabaja de forma específica la patología dual en Cantabria (trastorno mental grave + adicción)\, presentará el día 10 de octubre\, con motivo del Día Mundial de la Salud Mental\, una proyección fotográfica en el Centro Cultural Doctor Madrazo realizada por los usuarios de su Centro de Rehabilitación Psicosocial.",http://santander.es/noticia/proyeccion-fotografica-higiene-mental,06-10-2017 10:00,http://datos.santander.es/api/datos/noticias_turismo/proyeccion-fotografica-higiene-mental-.csv
2017-10-31T16:32:21.399Z,Exposición fotográfica  &quot;Alma se tiene a veces&quot; de Olga Martínez,La exposición fotográfica organizada  por Espacio Imagen podrá visitarse durante el mes de octubre en el Centro Cultural Doctor Madrazo. El día de la inauguración habrá una charla donde la artista presentará su obra.,http://santander.es/noticia/exposicion-fotografica-alma-se-tiene-veces-olga-martinez,06-10-2017 15:05,http://datos.santander.es/api/datos/noticias_turismo/exposicion-fotografica-quot-alma-se-tiene-a-veces-quot-de-olga-martinez.csv
2017-10-31T16:32:21.393Z,Exposición Fotográfica “Las personas con discapacidad en la vida cotidiana”,,http://santander.es/noticia/exposicion-fotografica-personas-discapacidad-vida-cotidiana,06-10-2017 16:15,http://datos.santander.es/api/datos/noticias_turismo/exposicion-fotografica-las-personas-con-discapacidad-en-la-vida-cotidiana-.csv
2017-10-31T16:32:21.386Z,Presentación del libro &quot;Silentium&quot; de Isidro R. Ayestarán,"El Centro Cultural Doctor Madrazo acoge la presentación de la nueva obra literaria del poeta santanderino Isidro R. Ayestarán \,editada por el sello independiente Alas Ediciones.\n\n",http://santander.es/noticia/presentacion-del-libro-silentium-isidro-r-ayestaran,13-10-2017 11:54,http://datos.santander.es/api/datos/noticias_turismo/presentacion-del-libro-quot-silentium-quot-de-isidro-r-ayestaran.csv
2017-10-31T16:32:21.382Z,Tertulia con el fotógrafo Enrique Gambarte,,http://santander.es/noticia/tertulia-fotografo-enrique-gambarte,17-10-2017 17:53,http://datos.santander.es/api/datos/noticias_turismo/tertulia-con-el-fotografo-enrique-gambarte.csv
2017-10-31T16:32:21.377Z,"Presentación del libro “Los Cristales Translúcidos”. Colegio Lupasco\, un proyecto singular.","Al cumplirse 40 años de su fundación\, el colegio Lupasco de Santander\, institución escolar en régimen de cooperativa que atiende a niños y adolescentes que necesitan un entorno específico de aprendizaje difícil de abordar en otras instituciones educativas\, presenta en el centro cultural Doctor Madrazo este libro con el deseo de colaborar en la comprensión de esa parte de la población.\n\n",http://santander.es/noticia/presentacion-del-libro-cristales-translucidos-colegio-lupasco-proyecto-singular,17-10-2017 19:00,http://datos.santander.es/api/datos/noticias_turismo/presentacion-del-libro-los-cristales-translucidos-colegio-lupasco-un-proyecto-singular-.csv
2017-10-31T16:32:21.373Z,El Palacio de la Magdalena acoge desde mañana el festival Shatti Santander,"Concursantes de México\, Irlanda\, Ucrania o España\, entre otros países\, competirán en el encuentro\, que incluye también clases y talleres y una gala",http://santander.es/contenido/noticia/palacio-magdalena-acoge-desde-manana-festival-shatti-santander,19-10-2017 13:30,http://datos.santander.es/api/datos/noticias_turismo/el-palacio-de-la-magdalena-acoge-desde-manana-el-festival-shatti-santander.csv
2017-10-31T16:32:21.366Z,Exposición fotográfica de Marq Sutherland - Concierto Inauguración,"El Centro Cultural Doctor Madrazo inaugura el próximo 3 de noviembre una nueva exposición\, “Músicos” del fotógrafo y músico californiano Marq Sutherland.\nPara inaugurar la exposición actuarán en directo en el salón de actos “Isaac Cuende” las bandas “Gacela Thompson” y “Mud Candies”\, ambos grupos de Bilbao en la escena Country/Rockabilly/Bluegrass.",http://santander.es/noticia/exposicion-fotografica-marq-sutherland-concierto-inauguracion,03-11-2017 14:36,http://datos.santander.es/api/datos/noticias_turismo/exposicion-fotografica-de-marq-sutherland---concierto-inauguracion.csv
2017-10-31T16:32:21.363Z,Santander implantará un nuevo modelo de señalización turística,La medida se enmarca dentro del Plan de Actuación Turística 2015-2020 y busca homogeneizar la señalización actual y adaptarla a las transformaciones que se han producido en los últimos años en la ciudad,http://santander.es/noticia/santander-implantara-nuevo-modelo-senalizacion-turistica,28-10-2017 09:47,http://datos.santander.es/api/datos/noticias_turismo/santander-implantara-un-nuevo-modelo-de-senalizacion-turistica.csv
